watershed_group_code,length_km
ADMS,5023
ALBN,7540
ATLL,988
ATNA,725
BABL,6224
BABR,1247
BBAR,4743
BEAV,932
BELA,735
BIGC,1990
BLAR,5425
BLUR,127
BONP,6445
BOWR,5196
BRID,3193
BRKS,3240
BULK,8688
BULL,8053
CAMB,2691
CANO,1409
CARP,2306
CARR,2507
CHES,2059
CHIL,2432
CHIR,1761
CHWK,2347
CLAY,2273
CLRH,3414
CLWR,1089
COAL,213
COLR,6324
COMX,7305
COTR,10371
COWN,10054
CRKD,4280
DEAD,2339
DEAL,510
DEAR,327
DOGC,3922
DRIR,756
DUNC,1934
DUNE,2052
ELKR,8858
EUCH,1476
EUCL,947
FINA,5269
FINL,1428
FIRE,389
FONT,1688
FOXR,72
FRAN,10602
FRCN,4745
FROG,12
GATA,0
GLAR,71
GOLD,4284
GRAI,4179
GRNL,2036
GUIC,2986
HARR,3503
HAYR,861
HERR,611
HOLB,2482
HOMA,1496
HORS,4015
INGR,556
INKR,23
ISKR,358
JERV,5644
KAHN,2388
KAKC,120
KCHL,2404
KEEC,4
KETL,15362
KHOR,5195
KHTZ,262
KINR,527
KISK,6003
KISP,3870
KITL,230
KITR,2118
KLAR,65
KLIN,1713
KLUM,3233
KNIG,4329
KOTL,14056
KOTR,4472
KSHR,231
KTSU,25
KUMR,118
KUSR,193
LARL,10919
LBIR,749
LBTN,11819
LCHL,8156
LCHR,9160
LDEN,260
LEUT,759
LFRA,12751
LFRT,2500
LHAF,6475
LIAR,860
LILL,2278
LISR,26
LKEC,62
LKEL,756
LMUS,1995
LNAR,2475
LNIC,6358
LNRS,3186
LNTH,10062
LOMI,1872
LPCE,7006
LPET,1966
LPRO,1058
LRAN,236
LRDO,116
LSAL,4712
LSIK,3379
LSKE,923
LSTR,58
LTRE,2045
MAHD,4085
MBNK,35
MCGR,2389
MDEA,587
MESC,93
MESI,1318
MFRA,4139
MFRT,2614
MIDR,1605
MILL,3116
MMUS,346
MORI,1895
MORK,6852
MORR,2556
MPRO,1700
MSKE,350
MSTR,677
MURR,6161
MURT,22
MUSK,1934
NAKR,40
NARC,10157
NASC,431
NASR,1651
NATR,4550
NAZR,5415
NBNK,0
NECL,291
NECR,8637
NEVI,909
NICL,3082
NIEL,964
NIMP,4039
OKAN,19254
OSPK,355
OWIK,1415
PARA,3222
PARK,6481
PARS,3308
PCEA,2345
PINE,7614
PITR,7
PORI,152
QUES,8074
REVL,3258
SAHD,2530
SAHT,3133
SAJR,6049
SALM,5111
SALR,2413
SANJ,8118
SETN,5295
SEYM,2160
SHEK,1214
SHER,78
SHUL,7082
SIML,9361
SKGT,422
SLOC,3462
SMAR,9890
SMOK,2885
SPAT,48
SQAM,5792
STHM,8122
STIR,204
STUL,4300
STUR,3163
SUST,584
SWIR,181
TABR,5499
TAHR,46
TAHS,2246
TAKL,2615
TASR,1300
TATR,152
TAYR,15
TESR,36
THOM,6350
TOAD,730
TOBA,3630
TOOD,307
TSAY,474
TSEA,2444
TSIT,3168
TURN,591
TUTR,102
TUYR,21
TWAC,5604
UARL,5140
UBIR,152
UBTN,7890
UCHR,4450
UDEN,3299
UEUT,1265
UFRA,3008
UFRT,1608
UHAF,2482
UISR,386
UKEC,254
ULRD,792
UMUS,423
UNRS,1718
UNTH,6320
UNUR,93
UOMI,1033
UPCE,7544
UPET,1060
UPRO,911
USHU,8133
USIK,4880
USKE,139
USTK,33
UTRE,1329
VICT,5108
WILL,6245
WORC,509
ZYMO,1396
